Year,State/Country, UnemploymentRate,AbsPovRate
2019,Johor,2.7,3.9
2019,Kedah,2.8,8.8
2019,Kelantan,4,12.4
2019,Melaka,1.1,3.9
2019,Negeri Sembilan,3.1,4.3
2019,Pahang,2.9,4.3
2019,Pulau Pinang,2,1.9
2019,Perak,3.4,7.3
2019,Perlis,3.3,3.9
2019,Selangor,2.9,1.2
2019,Terengganu,3.5,6.1
2019,Sabah,5.8,19.5
2019,Sarawak,3.1,9
2019,W.P. Kuala Lumpur,2.6,0.2
2019,W.P. Labuan,6.9,3.1
2019,W.P. Putrajaya,1.2,0.4
2016,Johor,3.6,6.2
2016,Kedah,2.9,14.3
2016,Kelantan,3.8,19.5
2016,Melaka,0.9,2.6
2016,Negeri Sembilan,2.7,6.4
2016,Pahang,2.6,9.2
2016,Pulau Pinang,2.1,2.2
2016,Perak,3.4,8.2
2016,Perlis,2.9,7.2
2016,Selangor,3.2,0.8
2016,Terengganu,4.2,6.8
2016,Sabah,5.4,23.9
2016,Sarawak,3.3,11.9
2016,W.P. Kuala Lumpur,3.3,0.8
2016,W.P. Labuan,7.8,6.8
2016,W.P. Putrajaya,1.7,0
2014,Johor,2.6,0
2014,Kedah,2.7,0.3
2014,Kelantan,3.3,0.9
2014,Melaka,0.9,0.1
2014,Negeri Sembilan,3,0.4
2014,Pahang,2.7,0.7
2014,Pulau Pinang,1.6,0.3
2014,Perak,3.4,0.7
2014,Perlis,3.3,0.2
2014,Selangor,2,0.2
2014,Terengganu,4.1,0.6
2014,Sabah,4.9,4
2014,Sarawak,3.1,0.9
2014,W.P. Kuala Lumpur,2.9,0.1
2014,W.P. Labuan,5.1,1.1
2014,W.P. Putrajaya,1.2,0
2012,Johor,3.1,0.9
2012,Kedah,2.9,1.7
2012,Kelantan,2.3,2.7
2012,Melaka,0.5,0.1
2012,Negeri Sembilan,3,0.5
2012,Pahang,2.7,1.3
2012,Pulau Pinang,2,0.6
2012,Perak,3,1.5
2012,Perlis,3.9,1.9
2012,Selangor,2.3,0.4
2012,Terengganu,3,1.7
2012,Sabah,5.6,8.1
2012,Sarawak,3.5,2.4
2012,W.P. Kuala Lumpur,2.7,0.8
2012,W.P. Labuan,4.6,1.1
2012,W.P. Putrajaya,1.5,0
2009,Johor,3.2,1.3
2009,Kedah,4.2,5.3
2009,Kelantan,2.4,4.8
2009,Melaka,2.4,0.5
2009,Negeri Sembilan,3.9,0.7
2009,Pahang,3,2.1
2009,Pulau Pinang,2.5,1.2
2009,Perak,3.5,3.5
2009,Perlis,3.3,6
2009,Selangor,3.6,0.7
2009,Terengganu,3.8,4
2009,Sabah,5.5,19.7
2009,Sarawak,4.6,5.3
2009,W.P. Kuala Lumpur,2.9,0.7
2009,W.P. Labuan,5.6,4.3
2009,W.P. Putrajaya,0,0
2007,Johor,2,1.5
2007,Kedah,3.3,3.1
2007,Kelantan,2.7,7.2
2007,Melaka,2.1,1.8
2007,Negeri Sembilan,3.6,1.3
2007,Pahang,3.2,1.7
2007,Pulau Pinang,2.1,1.4
2007,Perak,2.9,3.4
2007,Perlis,3,6.8
2007,Selangor,3,0.7
2007,Terengganu,2.6,6.4
2007,Sabah,5.5,16.4
2007,Sarawak,4.3,4.2
2007,W.P. Kuala Lumpur,2.9,1.5
2007,W.P. Labuan,4.5,4.2
2007,W.P. Putrajaya,0,0
2004,Johor,3.6,2
2004,Kedah,3.8,7
2004,Kelantan,4.1,10.6
2004,Melaka,1.6,1.8
2004,Negeri Sembilan,3.5,1.4
2004,Pahang,3.3,4
2004,Perak,3.3,4.9
2004,Perlis,3.3,6.3
2004,Pulau Pinang,1.8,0.3
2004,Sabah,6.5,24.2
2004,Sarawak,3.8,7.5
2004,Selangor,2.7,1
2004,Terengganu,3.2,15.4
2004,W.P. Labuan,5,2.7
2004,W.P. Kuala Lumpur,2.9,1.5
2002,Johor,2.9,1.8
2002,Kedah,3.2,10.7
2002,Kelantan,3.9,12.4
2002,Melaka,2.9,2.7
2002,Negeri Sembilan,3.7,2.2
2002,Pahang,2.9,3.8
2002,Perak,3.9,7.9
2002,Perlis,3.1,10.1
2002,Pulau Pinang,2.2,1.4
2002,Sabah,5.9,16
2002,Sarawak,4,5.8
2002,Selangor,3,1.1
2002,Terengganu,3.2,10.7
2002,W.P. Kuala Lumpur,2.8,0.5
1999,Johor,3,2.5
1999,Kedah,3.2,13.5
1999,Kelantan,3.2,18.7
1999,Melaka,1.9,5.7
1999,Negeri Sembilan,3.8,2.5
1999,Pahang,3,5.5
1999,Perak,4.3,9.5
1999,Perlis,3.4,13.3
1999,Pulau Pinang,2.4,2.7
1999,Sabah,5.6,20.1
1999,Sarawak,4.6,6.7
1999,Selangor,1.9,2
1999,Terengganu,3.9,14.9
1999,W.P. Kuala Lumpur,2.9,2.3
1997,Johor,1.7,1.6
1997,Kedah,2.5,11.5
1997,Kelantan,3.6,19.5
1997,Melaka,1.7,3.6
1997,Negeri Sembilan,2.6,4.5
1997,Pahang,3,4.1
1997,Perak,2.2,4.5
1997,Perlis,2.3,10.6
1997,Pulau Pinang,1.1,1.6
1997,Sabah,4.6,22.1
1997,Sarawak,3.9,7.5
1997,Selangor,1,1.3
1997,Terengganu,3.6,17.3
1997,W.P. Kuala Lumpur,1.4,0.1
1995,Johor,2.6,3.1
1995,Kedah,2,12.2
1995,Kelantan,3.5,22.9
1995,Melaka,2.3,5.3
1995,Negeri Sembilan,3.1,4.9
1995,Pahang,3.6,6.8
1995,Perak,3.9,9.1
1995,Perlis,1.4,11.8
1995,Pulau Pinang,1.4,4
1995,Sabah,5.5,22.6
1995,Sarawak,4.8,10
1995,Selangor,2,2.2
1995,Terengganu,5.9,23.4
1995,W.P. Kuala Lumpur,1.7,0.5
1992,Johor,2.2,5.6
1992,Kedah,3.7,21.2
1992,Kelantan,5.3,29.5
1992,Melaka,3.3,8.5
1992,Negeri Sembilan,3.3,8.1
1992,Pahang,2.8,6.9
1992,Perak,3.7,10.2
1992,Perlis,2.7,19.8
1992,Pulau Pinang,1.7,4
1992,Sabah,6.2,27.8
1992,Sarawak,7.8,19.2
1992,Selangor,2.1,4.3
1992,Terengganu,5.5,25.6
1992,W.P. Kuala Lumpur,2.4,1.7
1989,Johor,4.6,10.1
1989,Kedah,5.7,30
1989,Kelantan,6.3,29.9
1989,Melaka,6,12.4
1989,Negeri Sembilan,4.9,9.5
1989,Pahang,3.7,10.2
1989,Perak,5.5,19.3
1989,Perlis,6.4,17.2
1989,Pulau Pinang,3.9,8.9
1989,Sabah,7.4,29.7
1989,Sarawak,9.6,21
1989,Selangor,3.9,7.8
1989,Terengganu,12.3,31.2
1989,W.P. Kuala Lumpur,3.7,3.8
1987,Johor,6.3,11.1
1987,Kedah,8,31.3
1987,Kelantan,6.5,31.6
1987,Melaka,8,11.7
1987,Negeri Sembilan,7.6,21.5
1987,Pahang,5.1,12.3
1987,Perak,8,19.9
1987,Perlis,6.6,29.1
1987,Pulau Pinang,6.5,12.9
1987,Sabah,9,35.3
1987,Sarawak,9.8,24.7
1987,Selangor,5.6,8.9
1987,Terengganu,11.7,36.1
1987,W.P. Kuala Lumpur,5.7,5.2
1984,Johor,4.5,12.2
1984,Kedah,5.6,36.6
1984,Kelantan,5.5,39.2
1984,Melaka,5.4,15.8
1984,Negeri Sembilan,4.9,13
1984,Pahang,4.6,15.7
1984,Perak,5.4,20.3
1984,Perlis,4.6,33.7
1984,Pulau Pinang,3.6,13.4
1984,Sabah,6,33.1
1984,Sarawak,6.7,31.9
1984,Selangor,4,8.6
1984,Terengganu,6.8,28.9
1984,W.P. Kuala Lumpur,3.8,4.9
